"ITTER107","TIPO_DATO15","SEXISTAT1","ETA1","STATCIV2","TIME","Value","Flag Codes"
"013011","JAN","9","TOTAL","99","2014",668,
"013011","JAN","9","TOTAL","99","2015",688,
"013011","JAN","9","TOTAL","99","2016",681,
"013011","JAN","9","TOTAL","99","2017",666,
"013011","JAN","9","TOTAL","99","2018",665,
"016015","JAN","9","TOTAL","99","2014",530,
"016015","JAN","9","TOTAL","99","2015",537,
"016015","JAN","9","TOTAL","99","2016",543,
"016015","JAN","9","TOTAL","99","2017",557,
"016015","JAN","9","TOTAL","99","2018",568,
"019004","JAN","9","TOTAL","99","2014",704,
"019004","JAN","9","TOTAL","99","2015",675,
"019004","JAN","9","TOTAL","99","2016",656,
"019004","JAN","9","TOTAL","99","2017",635,
"019004","JAN","9","TOTAL","99","2018",636,
"017008","JAN","9","TOTAL","99","2014",3110,
"017008","JAN","9","TOTAL","99","2015",3141,
"017008","JAN","9","TOTAL","99","2016",3158,
"017008","JAN","9","TOTAL","99","2017",3189,
"017008","JAN","9","TOTAL","99","2018",3332,
"016016","JAN","9","TOTAL","99","2014",7690,
"016016","JAN","9","TOTAL","99","2015",7641,
"016016","JAN","9","TOTAL","99","2016",7602,
"016016","JAN","9","TOTAL","99","2017",7597,
"016016","JAN","9","TOTAL","99","2018",7617,
"012006","JAN","9","TOTAL","99","2014",4634,
"012006","JAN","9","TOTAL","99","2015",4656,
"012006","JAN","9","TOTAL","99","2016",4648,
"012006","JAN","9","TOTAL","99","2017",4686,
"012006","JAN","9","TOTAL","99","2018",4714,
"012007","JAN","9","TOTAL","99","2014",819,
"012007","JAN","9","TOTAL","99","2015",795,
"012007","JAN","9","TOTAL","99","2016",796,
"012007","JAN","9","TOTAL","99","2017",779,
"012007","JAN","9","TOTAL","99","2018",757,
"016017","JAN","9","TOTAL","99","2014",415,
"016017","JAN","9","TOTAL","99","2015",412,
"016017","JAN","9","TOTAL","99","2016",406,
"016017","JAN","9","TOTAL","99","2017",400,
"016017","JAN","9","TOTAL","99","2018",387,
"018006","JAN","9","TOTAL","99","2014",400,
"018006","JAN","9","TOTAL","99","2015",385,
"018006","JAN","9","TOTAL","99","2016",363,
"018006","JAN","9","TOTAL","99","2017",361,
"018006","JAN","9","TOTAL","99","2018",374,
"016018","JAN","9","TOTAL","99","2014",4271,
"016018","JAN","9","TOTAL","99","2015",4300,
"016018","JAN","9","TOTAL","99","2016",4292,
"016018","JAN","9","TOTAL","99","2017",4335,
"016018","JAN","9","TOTAL","99","2018",4317,
"017009","JAN","9","TOTAL","99","2014",12834,
"017009","JAN","9","TOTAL","99","2015",12829,
"017009","JAN","9","TOTAL","99","2016",12775,
"017009","JAN","9","TOTAL","99","2017",12677,
"017009","JAN","9","TOTAL","99","2018",12677,
"020003","JAN","9","TOTAL","99","2014",6028,
"020003","JAN","9","TOTAL","99","2015",6000,
"020003","JAN","9","TOTAL","99","2016",5971,
"020003","JAN","9","TOTAL","99","2017",5963,
"020003","JAN","9","TOTAL","99","2018",5938,
"017010","JAN","9","TOTAL","99","2014",3948,
"017010","JAN","9","TOTAL","99","2015",3924,
"017010","JAN","9","TOTAL","99","2016",3897,
"017010","JAN","9","TOTAL","99","2017",3879,
"017010","JAN","9","TOTAL","99","2018",3847,
"012133","JAN","9","TOTAL","99","2014",80927,
"012133","JAN","9","TOTAL","99","2015",80857,
"012133","JAN","9","TOTAL","99","2016",80799,
"012133","JAN","9","TOTAL","99","2017",80694,
"012133","JAN","9","TOTAL","99","2018",80544,
"013075","JAN","9","TOTAL","99","2014",84834,
"013075","JAN","9","TOTAL","99","2015",84687,
"013075","JAN","9","TOTAL","99","2016",84495,
"013075","JAN","9","TOTAL","99","2017",84326,
"013075","JAN","9","TOTAL","99","2018",83320,
"014061","JAN","9","TOTAL","99","2014",22095,
"014061","JAN","9","TOTAL","99","2015",21891,
"014061","JAN","9","TOTAL","99","2016",21778,
"014061","JAN","9","TOTAL","99","2017",21632,
"014061","JAN","9","TOTAL","99","2018",21642,
"015146","JAN","9","TOTAL","99","2014",1324169,
"015146","JAN","9","TOTAL","99","2015",1337155,
"015146","JAN","9","TOTAL","99","2016",1345851,
"015146","JAN","9","TOTAL","99","2017",1351562,
"015146","JAN","9","TOTAL","99","2018",1366180,
"016024","JAN","9","TOTAL","99","2014",118717,
"016024","JAN","9","TOTAL","99","2015",119002,
"016024","JAN","9","TOTAL","99","2016",119381,
"016024","JAN","9","TOTAL","99","2017",120287,
"016024","JAN","9","TOTAL","99","2018",120923,
"017029","JAN","9","TOTAL","99","2014",193599,
"017029","JAN","9","TOTAL","99","2015",196058,
"017029","JAN","9","TOTAL","99","2016",196480,
"017029","JAN","9","TOTAL","99","2017",196670,
"017029","JAN","9","TOTAL","99","2018",196745,
"018110","JAN","9","TOTAL","99","2014",71297,
"018110","JAN","9","TOTAL","99","2015",72205,
"018110","JAN","9","TOTAL","99","2016",72576,
"018110","JAN","9","TOTAL","99","2017",72612,
"018110","JAN","9","TOTAL","99","2018",72773,
"019036","JAN","9","TOTAL","99","2014",71184,
"019036","JAN","9","TOTAL","99","2015",71657,
"019036","JAN","9","TOTAL","99","2016",71901,
"019036","JAN","9","TOTAL","99","2017",71924,
"019036","JAN","9","TOTAL","99","2018",72077,
"020030","JAN","9","TOTAL","99","2014",48588,
"020030","JAN","9","TOTAL","99","2015",48747,
"020030","JAN","9","TOTAL","99","2016",48671,
"020030","JAN","9","TOTAL","99","2017",49308,
"020030","JAN","9","TOTAL","99","2018",49409,
"097042","JAN","9","TOTAL","99","2014",48131,
"097042","JAN","9","TOTAL","99","2015",48141,
"097042","JAN","9","TOTAL","99","2016",47999,
"097042","JAN","9","TOTAL","99","2017",48131,
"097042","JAN","9","TOTAL","99","2018",48177,
"098031","JAN","9","TOTAL","99","2014",44529,
"098031","JAN","9","TOTAL","99","2015",44769,
"098031","JAN","9","TOTAL","99","2016",44945,
"098031","JAN","9","TOTAL","99","2017",45212,
"098031","JAN","9","TOTAL","99","2018",45252,
"108033","JAN","9","TOTAL","99","2014",123151,
"108033","JAN","9","TOTAL","99","2015",122367,
"108033","JAN","9","TOTAL","99","2016",122671,
"108033","JAN","9","TOTAL","99","2017",122955,
"108033","JAN","9","TOTAL","99","2018",123598,
"098001","JAN","9","TOTAL","99","2014",300,
"098001","JAN","9","TOTAL","99","2015",297,
"098001","JAN","9","TOTAL","99","2016",289,
"098001","JAN","9","TOTAL","99","2017",284,
"098001","JAN","9","TOTAL","99","2018",289,
"097001","JAN","9","TOTAL","99","2014",3235,
"097001","JAN","9","TOTAL","99","2015",3227,
"097001","JAN","9","TOTAL","99","2016",3200,
"097001","JAN","9","TOTAL","99","2017",3209,
"097001","JAN","9","TOTAL","99","2018",3216,
"015002","JAN","9","TOTAL","99","2014",32295,
"015002","JAN","9","TOTAL","99","2015",32409,
"015002","JAN","9","TOTAL","99","2016",32585,
"015002","JAN","9","TOTAL","99","2017",32565,
"015002","JAN","9","TOTAL","99","2018",32737,
"017001","JAN","9","TOTAL","99","2014",1602,
"017001","JAN","9","TOTAL","99","2015",1611,
"017001","JAN","9","TOTAL","99","2016",1591,
"017001","JAN","9","TOTAL","99","2017",1565,
"017001","JAN","9","TOTAL","99","2018",1567,
"019001","JAN","9","TOTAL","99","2014",1238,
"019001","JAN","9","TOTAL","99","2015",1187,
"019001","JAN","9","TOTAL","99","2016",1189,
"019001","JAN","9","TOTAL","99","2017",1181,
"019001","JAN","9","TOTAL","99","2018",1179,
"020001","JAN","9","TOTAL","99","2014",2989,
"020001","JAN","9","TOTAL","99","2015",2978,
"020001","JAN","9","TOTAL","99","2016",2948,
"020001","JAN","9","TOTAL","99","2017",2935,
"020001","JAN","9","TOTAL","99","2018",2895,
"016001","JAN","9","TOTAL","99","2014",2214,
"016001","JAN","9","TOTAL","99","2015",2210,
"016001","JAN","9","TOTAL","99","2016",2225,
"016001","JAN","9","TOTAL","99","2017",2263,
"016001","JAN","9","TOTAL","99","2018",2239,
"016002","JAN","9","TOTAL","99","2014",835,
"016002","JAN","9","TOTAL","99","2015",849,
"016002","JAN","9","TOTAL","99","2016",837,
"016002","JAN","9","TOTAL","99","2017",819,
"016002","JAN","9","TOTAL","99","2018",825,
"017002","JAN","9","TOTAL","99","2014",7125,
"017002","JAN","9","TOTAL","99","2015",7097,
"017002","JAN","9","TOTAL","99","2016",7086,
"017002","JAN","9","TOTAL","99","2017",7140,
"017002","JAN","9","TOTAL","99","2018",7168,
"019002","JAN","9","TOTAL","99","2014",3866,
"019002","JAN","9","TOTAL","99","2015",3858,
"019002","JAN","9","TOTAL","99","2016",3845,
"019002","JAN","9","TOTAL","99","2017",3872,
"019002","JAN","9","TOTAL","99","2018",3866,
"017003","JAN","9","TOTAL","99","2014",1833,
"017003","JAN","9","TOTAL","99","2015",1813,
"017003","JAN","9","TOTAL","99","2016",1790,
"017003","JAN","9","TOTAL","99","2017",1752,
"017003","JAN","9","TOTAL","99","2018",1713,
"012001","JAN","9","TOTAL","99","2014",384,
"012001","JAN","9","TOTAL","99","2015",386,
"012001","JAN","9","TOTAL","99","2016",397,
"012001","JAN","9","TOTAL","99","2017",412,
"012001","JAN","9","TOTAL","99","2018",410,
"108001","JAN","9","TOTAL","99","2014",15377,
"108001","JAN","9","TOTAL","99","2015",15431,
"108001","JAN","9","TOTAL","99","2016",15426,
"108001","JAN","9","TOTAL","99","2017",15463,
"108001","JAN","9","TOTAL","99","2018",15540,
"108002","JAN","9","TOTAL","99","2014",2064,
"108002","JAN","9","TOTAL","99","2015",2072,
"108002","JAN","9","TOTAL","99","2016",2101,
"108002","JAN","9","TOTAL","99","2017",2099,
"108002","JAN","9","TOTAL","99","2018",2122,
"097002","JAN","9","TOTAL","99","2014",2945,
"097002","JAN","9","TOTAL","99","2015",2925,
"097002","JAN","9","TOTAL","99","2016",2879,
"097002","JAN","9","TOTAL","99","2017",2868,
"097002","JAN","9","TOTAL","99","2018",2848,
"018001","JAN","9","TOTAL","99","2014",904,
"018001","JAN","9","TOTAL","99","2015",878,
"018001","JAN","9","TOTAL","99","2016",875,
"018001","JAN","9","TOTAL","99","2017",854,
"018001","JAN","9","TOTAL","99","2018",831,
"015005","JAN","9","TOTAL","99","2014",4713,
"015005","JAN","9","TOTAL","99","2015",4702,
"015005","JAN","9","TOTAL","99","2016",4684,
"015005","JAN","9","TOTAL","99","2017",4708,
