"ITTER107","TIPO_DATO15","SEXISTAT1","ETA1","STATCIV2","TIME","Value","Flag Codes"
"018022","JAN","9","TOTAL","99","2014",814,
"018022","JAN","9","TOTAL","99","2015",806,
"018022","JAN","9","TOTAL","99","2016",800,
"018022","JAN","9","TOTAL","99","2017",778,
"018022","JAN","9","TOTAL","99","2018",756,
"013029","JAN","9","TOTAL","99","2014",2067,
"013029","JAN","9","TOTAL","99","2015",2120,
"013029","JAN","9","TOTAL","99","2016",2133,
"013029","JAN","9","TOTAL","99","2017",2137,
"013029","JAN","9","TOTAL","99","2018",2151,
"017028","JAN","9","TOTAL","99","2014",4915,
"017028","JAN","9","TOTAL","99","2015",4891,
"017028","JAN","9","TOTAL","99","2016",4853,
"017028","JAN","9","TOTAL","99","2017",4856,
"017028","JAN","9","TOTAL","99","2018",4821,
"012019","JAN","9","TOTAL","99","2014",1818,
"012019","JAN","9","TOTAL","99","2015",1793,
"012019","JAN","9","TOTAL","99","2016",1747,
"012019","JAN","9","TOTAL","99","2017",1708,
"012019","JAN","9","TOTAL","99","2018",1670,
"018023","JAN","9","TOTAL","99","2014",3550,
"018023","JAN","9","TOTAL","99","2015",3564,
"018023","JAN","9","TOTAL","99","2016",3529,
"018023","JAN","9","TOTAL","99","2017",3516,
"018023","JAN","9","TOTAL","99","2018",3479,
"015032","JAN","9","TOTAL","99","2014",26240,
"015032","JAN","9","TOTAL","99","2015",26255,
"015032","JAN","9","TOTAL","99","2016",26263,
"015032","JAN","9","TOTAL","99","2017",26285,
"015032","JAN","9","TOTAL","99","2018",26259,
"012020","JAN","9","TOTAL","99","2014",1186,
"012020","JAN","9","TOTAL","99","2015",1206,
"012020","JAN","9","TOTAL","99","2016",1213,
"012020","JAN","9","TOTAL","99","2017",1197,
"012020","JAN","9","TOTAL","99","2018",1215,
"012027","JAN","9","TOTAL","99","2014",2045,
"012027","JAN","9","TOTAL","99","2015",2097,
"012027","JAN","9","TOTAL","99","2016",2125,
"012027","JAN","9","TOTAL","99","2017",2160,
"012027","JAN","9","TOTAL","99","2018",2201,
"013036","JAN","9","TOTAL","99","2014",7887,
"013036","JAN","9","TOTAL","99","2015",7884,
"013036","JAN","9","TOTAL","99","2016",7897,
"013036","JAN","9","TOTAL","99","2017",7919,
"013036","JAN","9","TOTAL","99","2018",7979,
"012028","JAN","9","TOTAL","99","2014",1854,
"012028","JAN","9","TOTAL","99","2015",1844,
"012028","JAN","9","TOTAL","99","2016",1817,
"012028","JAN","9","TOTAL","99","2017",1848,
"012028","JAN","9","TOTAL","99","2018",1842,
"013037","JAN","9","TOTAL","99","2014",477,
"013037","JAN","9","TOTAL","99","2015",457,
"013037","JAN","9","TOTAL","99","2016",451,
"013037","JAN","9","TOTAL","99","2017",454,
"013037","JAN","9","TOTAL","99","2018",454,
"013038","JAN","9","TOTAL","99","2014",2043,
"013038","JAN","9","TOTAL","99","2015",2032,
"013038","JAN","9","TOTAL","99","2016",2063,
"013038","JAN","9","TOTAL","99","2017",2045,
"013038","JAN","9","TOTAL","99","2018",2057,
"017031","JAN","9","TOTAL","99","2014",2155,
"017031","JAN","9","TOTAL","99","2015",2169,
"017031","JAN","9","TOTAL","99","2016",2151,
"017031","JAN","9","TOTAL","99","2017",2161,
"017031","JAN","9","TOTAL","99","2018",2130,
"014011","JAN","9","TOTAL","99","2014",1076,
"014011","JAN","9","TOTAL","99","2015",1068,
"014011","JAN","9","TOTAL","99","2016",1085,
"014011","JAN","9","TOTAL","99","2017",1081,
"014011","JAN","9","TOTAL","99","2018",1085,
"012029","JAN","9","TOTAL","99","2014",7892,
"012029","JAN","9","TOTAL","99","2015",7877,
"012029","JAN","9","TOTAL","99","2016",7827,
"012029","JAN","9","TOTAL","99","2017",7791,
"012029","JAN","9","TOTAL","99","2018",7720,
"016043","JAN","9","TOTAL","99","2014",5914,
"016043","JAN","9","TOTAL","99","2015",5932,
"016043","JAN","9","TOTAL","99","2016",5958,
"016043","JAN","9","TOTAL","99","2017",5987,
"016043","JAN","9","TOTAL","99","2018",5985,
"017032","JAN","9","TOTAL","99","2014",12860,
"017032","JAN","9","TOTAL","99","2015",12861,
"017032","JAN","9","TOTAL","99","2016",12924,
"017032","JAN","9","TOTAL","99","2017",12915,
"017032","JAN","9","TOTAL","99","2018",12894,
"016044","JAN","9","TOTAL","99","2014",5397,
"016044","JAN","9","TOTAL","99","2015",5375,
"016044","JAN","9","TOTAL","99","2016",5352,
"016044","JAN","9","TOTAL","99","2017",5378,
"016044","JAN","9","TOTAL","99","2018",5326,
"097012","JAN","9","TOTAL","99","2014",5254,
"097012","JAN","9","TOTAL","99","2015",5255,
"097012","JAN","9","TOTAL","99","2016",5289,
"097012","JAN","9","TOTAL","99","2017",5303,
"097012","JAN","9","TOTAL","99","2018",5341,
"097013","JAN","9","TOTAL","99","2014",14162,
"097013","JAN","9","TOTAL","99","2015",14086,
"097013","JAN","9","TOTAL","99","2016",14015,
"097013","JAN","9","TOTAL","99","2017",13904,
"097013","JAN","9","TOTAL","99","2018",13877,
"016046","JAN","9","TOTAL","99","2014",8358,
"016046","JAN","9","TOTAL","99","2015",8313,
"016046","JAN","9","TOTAL","99","2016",8328,
"016046","JAN","9","TOTAL","99","2017",8347,
"016046","JAN","9","TOTAL","99","2018",8378,
"017033","JAN","9","TOTAL","99","2014",3499,
"017033","JAN","9","TOTAL","99","2015",3521,
"017033","JAN","9","TOTAL","99","2016",3583,
"017033","JAN","9","TOTAL","99","2017",3569,
"017033","JAN","9","TOTAL","99","2018",3566,
"019009","JAN","9","TOTAL","99","2014",1254,
"019009","JAN","9","TOTAL","99","2015",1208,
"019009","JAN","9","TOTAL","99","2016",1208,
"019009","JAN","9","TOTAL","99","2017",1217,
"019009","JAN","9","TOTAL","99","2018",1200,
"016047","JAN","9","TOTAL","99","2014",4204,
"016047","JAN","9","TOTAL","99","2015",4207,
"016047","JAN","9","TOTAL","99","2016",4188,
"016047","JAN","9","TOTAL","99","2017",4242,
"016047","JAN","9","TOTAL","99","2018",4240,
"018025","JAN","9","TOTAL","99","2014",127,
"018025","JAN","9","TOTAL","99","2015",131,
"018025","JAN","9","TOTAL","99","2016",122,
"018025","JAN","9","TOTAL","99","2017",113,
"018025","JAN","9","TOTAL","99","2018",114,
"015042","JAN","9","TOTAL","99","2014",1201,
"015042","JAN","9","TOTAL","99","2015",1193,
"015042","JAN","9","TOTAL","99","2016",1199,
"015042","JAN","9","TOTAL","99","2017",1209,
"015042","JAN","9","TOTAL","99","2018",1199,
"017034","JAN","9","TOTAL","99","2014",8706,
"017034","JAN","9","TOTAL","99","2015",8604,
"017034","JAN","9","TOTAL","99","2016",8491,
"017034","JAN","9","TOTAL","99","2017",8502,
"017034","JAN","9","TOTAL","99","2018",8543,
"098007","JAN","9","TOTAL","99","2014",688,
"098007","JAN","9","TOTAL","99","2015",679,
"098007","JAN","9","TOTAL","99","2016",676,
"098007","JAN","9","TOTAL","99","2017",654,
"098007","JAN","9","TOTAL","99","2018",643,
"015044","JAN","9","TOTAL","99","2014",6730,
"015044","JAN","9","TOTAL","99","2015",6805,
"015044","JAN","9","TOTAL","99","2016",6843,
"015044","JAN","9","TOTAL","99","2017",6906,
"015044","JAN","9","TOTAL","99","2018",6954,
"016048","JAN","9","TOTAL","99","2014",626,
"016048","JAN","9","TOTAL","99","2015",625,
"016048","JAN","9","TOTAL","99","2016",630,
"016048","JAN","9","TOTAL","99","2017",621,
"016048","JAN","9","TOTAL","99","2018",616,
"018028","JAN","9","TOTAL","99","2014",113,
"018028","JAN","9","TOTAL","99","2015",108,
"018028","JAN","9","TOTAL","99","2016",109,
"018028","JAN","9","TOTAL","99","2017",110,
"018028","JAN","9","TOTAL","99","2018",108,
"018029","JAN","9","TOTAL","99","2014",1382,
"018029","JAN","9","TOTAL","99","2015",1368,
"018029","JAN","9","TOTAL","99","2016",1353,
"018029","JAN","9","TOTAL","99","2017",1354,
"018029","JAN","9","TOTAL","99","2018",1391,
"020008","JAN","9","TOTAL","99","2014",4511,
"020008","JAN","9","TOTAL","99","2015",4474,
"020008","JAN","9","TOTAL","99","2016",4455,
"020008","JAN","9","TOTAL","99","2017",4433,
"020008","JAN","9","TOTAL","99","2018",4388,
"016049","JAN","9","TOTAL","99","2014",4441,
"016049","JAN","9","TOTAL","99","2015",4455,
"016049","JAN","9","TOTAL","99","2016",4474,
"016049","JAN","9","TOTAL","99","2017",4479,
"016049","JAN","9","TOTAL","99","2018",4504,
"017038","JAN","9","TOTAL","99","2014",9407,
"017038","JAN","9","TOTAL","99","2015",9433,
"017038","JAN","9","TOTAL","99","2016",9397,
"017038","JAN","9","TOTAL","99","2017",9405,
"017038","JAN","9","TOTAL","99","2018",9467,
"108015","JAN","9","TOTAL","99","2014",17844,
"108015","JAN","9","TOTAL","99","2015",17795,
"108015","JAN","9","TOTAL","99","2016",17884,
"108015","JAN","9","TOTAL","99","2017",17860,
"108015","JAN","9","TOTAL","99","2018",17952,
"013044","JAN","9","TOTAL","99","2014",1187,
"013044","JAN","9","TOTAL","99","2015",1186,
"013044","JAN","9","TOTAL","99","2016",1171,
"013044","JAN","9","TOTAL","99","2017",1173,
"013044","JAN","9","TOTAL","99","2018",1170,
"016053","JAN","9","TOTAL","99","2014",16143,
"016053","JAN","9","TOTAL","99","2015",16042,
"016053","JAN","9","TOTAL","99","2016",16049,
"016053","JAN","9","TOTAL","99","2017",16230,
"016053","JAN","9","TOTAL","99","2018",16261,
"012031","JAN","9","TOTAL","99","2014",2592,
"012031","JAN","9","TOTAL","99","2015",2582,
"012031","JAN","9","TOTAL","99","2016",2563,
"012031","JAN","9","TOTAL","99","2017",2550,
"012031","JAN","9","TOTAL","99","2018",2613,
"018030","JAN","9","TOTAL","99","2014",1561,
"018030","JAN","9","TOTAL","99","2015",1584,
"018030","JAN","9","TOTAL","99","2016",1548,
"018030","JAN","9","TOTAL","99","2017",1507,
"018030","JAN","9","TOTAL","99","2018",1476,
"020009","JAN","9","TOTAL","99","2014",1319,
"020009","JAN","9","TOTAL","99","2015",1313,
"020009","JAN","9","TOTAL","99","2016",1297,
"020009","JAN","9","TOTAL","99","2017",1259,
"020009","JAN","9","TOTAL","99","2018",1259,
"013045","JAN","9","TOTAL","99","2014",2908,
"013045","JAN","9","TOTAL","99","2015",2905,
"013045","JAN","9","TOTAL","99","2016",2941,
"013045","JAN","9","TOTAL","99","2017",2943,
"013045","JAN","9","TOTAL","99","2018",2925,
"012032","JAN","9","TOTAL","99","2014",14768,
"012032","JAN","9","TOTAL","99","2015",14875,
"012032","JAN","9","TOTAL","99","2016",14789,
"012032","JAN","9","TOTAL","99","2017",14855,
"012032","JAN","9","TOTAL","99","2018",14896,
"097014","JAN","9","TOTAL","99","2014",1470,
"097014","JAN","9","TOTAL","99","2015",1482,
"097014","JAN","9","TOTAL","99","2016",1466,
"097014","JAN","9","TOTAL","99","2017",1451,
"097014","JAN","9","TOTAL","99","2018",1474,
"013046","JAN","9","TOTAL","99","2014",4428,
"013046","JAN","9","TOTAL","99","2015",4468,
"013046","JAN","9","TOTAL","99","2016",4485,
"013046","JAN","9","TOTAL","99","2017",4503,
"013046","JAN","9","TOTAL","99","2018",4530,
"013047","JAN","9","TOTAL","99","2014",3084,
"013047","JAN","9","TOTAL","99","2015",3130,
"013047","JAN","9","TOTAL","99","2016",3103,
"013047","JAN","9","TOTAL","99","2017",3165,
"013047","JAN","9","TOTAL","99","2018",3162,
"012033","JAN","9","TOTAL","99","2014",6624,
"012033","JAN","9","TOTAL","99","2015",6662,
"012033","JAN","9","TOTAL","99","2016",6630,
"012033","JAN","9","TOTAL","99","2017",6711,
"012033","JAN","9","TOTAL","99","2018",6722,
"108016","JAN","9","TOTAL","99","2014",7422,
"108016","JAN","9","TOTAL","99","2015",7348,
"108016","JAN","9","TOTAL","99","2016",7280,
"108016","JAN","9","TOTAL","99","2017",7278,
"108016","JAN","9","TOTAL","99","2018",7327,
"016055","JAN","9","TOTAL","99","2014",4704,
"016055","JAN","9","TOTAL","99","2015",4671,
"016055","JAN","9","TOTAL","99","2016",4697,
"016055","JAN","9","TOTAL","99","2017",4691,
"016055","JAN","9","TOTAL","99","2018",4700,
"016056","JAN","9","TOTAL","99","2014",342,
"016056","JAN","9","TOTAL","99","2015",339,
"016056","JAN","9","TOTAL","99","2016",335,
"016056","JAN","9","TOTAL","99","2017",326,
"016056","JAN","9","TOTAL","99","2018",313,
"012034","JAN","9","TOTAL","99","2014",17246,
"012034","JAN","9","TOTAL","99","2015",17385,
"012034","JAN","9","TOTAL","99","2016",17525,
"012034","JAN","9","TOTAL","99","2017",17713,
"012034","JAN","9","TOTAL","99","2018",17775,
"012035","JAN","9","TOTAL","99","2014",4985,
"012035","JAN","9","TOTAL","99","2015",4953,
"012035","JAN","9","TOTAL","99","2016",4952,
"012035","JAN","9","TOTAL","99","2017",4910,
"012035","JAN","9","TOTAL","99","2018",4860,
"017039","JAN","9","TOTAL","99","2014",13027,
"017039","JAN","9","TOTAL","99","2015",12976,
"017039","JAN","9","TOTAL","99","2016",13012,
"017039","JAN","9","TOTAL","99","2017",12957,
"017039","JAN","9","TOTAL","99","2018",12957,
"013048","JAN","9","TOTAL","99","2014",6304,
"013048","JAN","9","TOTAL","99","2015",6374,
"013048","JAN","9","TOTAL","99","2016",6396,
"013048","JAN","9","TOTAL","99","2017",6478,
"013048","JAN","9","TOTAL","99","2018",6536,
"019021","JAN","9","TOTAL","99","2014",15348,
"019021","JAN","9","TOTAL","99","2015",15402,
"019021","JAN","9","TOTAL","99","2016",15351,
"019021","JAN","9","TOTAL","99","2017",15376,
"019021","JAN","9","TOTAL","99","2018",15425,
"019022","JAN","9","TOTAL","99","2014",1680,
"019022","JAN","9","TOTAL","99","2015",1657,
"019022","JAN","9","TOTAL","99","2016",1622,
"019022","JAN","9","TOTAL","99","2017",1635,
"019022","JAN","9","TOTAL","99","2018",1618,
"020010","JAN","9","TOTAL","99","2014",2290,
"020010","JAN","9","TOTAL","99","2015",2287,
"020010","JAN","9","TOTAL","99","2016",2253,
"020010","JAN","9","TOTAL","99","2017",2242,
"020010","JAN","9","TOTAL","99","2018",2240,
"098010","JAN","9","TOTAL","99","2014",15234,
"098010","JAN","9","TOTAL","99","2015",15266,
"098010","JAN","9","TOTAL","99","2016",15347,
"098010","JAN","9","TOTAL","99","2017",15208,
"098010","JAN","9","TOTAL","99","2018",15280,
"020012","JAN","9","TOTAL","99","2014",1526,
"020012","JAN","9","TOTAL","99","2015",1493,
"020012","JAN","9","TOTAL","99","2016",1499,
"020012","JAN","9","TOTAL","99","2017",1486,
"020012","JAN","9","TOTAL","99","2018",1510,
"012037","JAN","9","TOTAL","99","2014",1331,
"012037","JAN","9","TOTAL","99","2015",1336,
"012037","JAN","9","TOTAL","99","2016",1378,
"012037","JAN","9","TOTAL","99","2017",1371,
"012037","JAN","9","TOTAL","99","2018",1353,
"018031","JAN","9","TOTAL","99","2014",474,
"018031","JAN","9","TOTAL","99","2015",460,
"018031","JAN","9","TOTAL","99","2016",458,
"018031","JAN","9","TOTAL","99","2017",461,
"018031","JAN","9","TOTAL","99","2018",455,
"097015","JAN","9","TOTAL","99","2014",833,
"097015","JAN","9","TOTAL","99","2015",833,
"097015","JAN","9","TOTAL","99","2016",830,
"097015","JAN","9","TOTAL","99","2017",825,
"097015","JAN","9","TOTAL","99","2018",844,
"015055","JAN","9","TOTAL","99","2014",4079,
"015055","JAN","9","TOTAL","99","2015",4069,
"015055","JAN","9","TOTAL","99","2016",4091,
"015055","JAN","9","TOTAL","99","2017",4081,
"015055","JAN","9","TOTAL","99","2018",4083,
"013050","JAN","9","TOTAL","99","2014",453,
"013050","JAN","9","TOTAL","99","2015",459,
"013050","JAN","9","TOTAL","99","2016",464,
"013050","JAN","9","TOTAL","99","2017",484,
"013050","JAN","9","TOTAL","99","2018",475,
"097016","JAN","9","TOTAL","99","2014",12918,
"097016","JAN","9","TOTAL","99","2015",12931,
"097016","JAN","9","TOTAL","99","2016",12951,
"097016","JAN","9","TOTAL","99","2017",12973,
"097016","JAN","9","TOTAL","99","2018",13042,
"018032","JAN","9","TOTAL","99","2014",899,
"018032","JAN","9","TOTAL","99","2015",897,
"018032","JAN","9","TOTAL","99","2016",899,
"018032","JAN","9","TOTAL","99","2017",892,
"018032","JAN","9","TOTAL","99","2018",888,
"016058","JAN","9","TOTAL","99","2014",4056,
"016058","JAN","9","TOTAL","99","2015",4061,
"016058","JAN","9","TOTAL","99","2016",4026,
"016058","JAN","9","TOTAL","99","2017",4091,
"016058","JAN","9","TOTAL","99","2018",4004,
"012038","JAN","9","TOTAL","99","2014",3891,
"012038","JAN","9","TOTAL","99","2015",3841,
"012038","JAN","9","TOTAL","99","2016",3809,
"012038","JAN","9","TOTAL","99","2017",3795,
"012038","JAN","9","TOTAL","99","2018",3763,
"018033","JAN","9","TOTAL","99","2014",2545,
"018033","JAN","9","TOTAL","99","2015",2510,
"018033","JAN","9","TOTAL","99","2016",2500,
"018033","JAN","9","TOTAL","99","2017",2485,
"018033","JAN","9","TOTAL","99","2018",2466,
"098011","JAN","9","TOTAL","99","2014",1634,
"098011","JAN","9","TOTAL","99","2015",1612,
"098011","JAN","9","TOTAL","99","2016",1578,
"098011","JAN","9","TOTAL","99","2017",1556,
"098011","JAN","9","TOTAL","99","2018",1540,
"098012","JAN","9","TOTAL","99","2014",3111,
"098012","JAN","9","TOTAL","99","2015",3060,
"098012","JAN","9","TOTAL","99","2016",3059,
"098012","JAN","9","TOTAL","99","2017",3030,
"098012","JAN","9","TOTAL","99","2018",2990,
"016059","JAN","9","TOTAL","99","2014",4043,
"016059","JAN","9","TOTAL","99","2015",4091,
"016059","JAN","9","TOTAL","99","2016",4115,
"016059","JAN","9","TOTAL","99","2017",4096,
"016059","JAN","9","TOTAL","99","2018",4120,
"013052","JAN","9","TOTAL","99","2014",1729,
"013052","JAN","9","TOTAL","99","2015",1702,
"013052","JAN","9","TOTAL","99","2016",1669,
"013052","JAN","9","TOTAL","99","2017",1691,
"013052","JAN","9","TOTAL","99","2018",1676,
"013053","JAN","9","TOTAL","99","2014",4868,
"013053","JAN","9","TOTAL","99","2015",4910,
"013053","JAN","9","TOTAL","99","2016",4926,
"013053","JAN","9","TOTAL","99","2017",4940,
"013053","JAN","9","TOTAL","99","2018",4943,
"016060","JAN","9","TOTAL","99","2014",3337,
"016060","JAN","9","TOTAL","99","2015",3315,
"016060","JAN","9","TOTAL","99","2016",3273,
"016060","JAN","9","TOTAL","99","2017",3233,
"016060","JAN","9","TOTAL","99","2018",3221,
"018034","JAN","9","TOTAL","99","2014",8533,
"018034","JAN","9","TOTAL","99","2015",8624,
"018034","JAN","9","TOTAL","99","2016",8709,
"018034","JAN","9","TOTAL","99","2017",8750,
"018034","JAN","9","TOTAL","99","2018",8680,
"012039","JAN","9","TOTAL","99","2014",5740,
"012039","JAN","9","TOTAL","99","2015",5756,
"012039","JAN","9","TOTAL","99","2016",5699,
"012039","JAN","9","TOTAL","99","2017",5696,
"012039","JAN","9","TOTAL","99","2018",5687,
"015058","JAN","9","TOTAL","99","2014",5445,
"015058","JAN","9","TOTAL","99","2015",5479,
"015058","JAN","9","TOTAL","99","2016",5483,
"015058","JAN","9","TOTAL","99","2017",5467,
"015058","JAN","9","TOTAL","99","2018",5454,
"014013","JAN","9","TOTAL","99","2014",1437,
"014013","JAN","9","TOTAL","99","2015",1427,
"014013","JAN","9","TOTAL","99","2016",1411,
"014013","JAN","9","TOTAL","99","2017",1393,
"014013","JAN","9","TOTAL","99","2018",1377,
"097017","JAN","9","TOTAL","99","2014",4447,
"097017","JAN","9","TOTAL","99","2015",4477,
"097017","JAN","9","TOTAL","99","2016",4399,
"097017","JAN","9","TOTAL","99","2017",4379,
"097017","JAN","9","TOTAL","99","2018",4371,
"015059","JAN","9","TOTAL","99","2014",18751,
"015059","JAN","9","TOTAL","99","2015",18800,
"015059","JAN","9","TOTAL","99","2016",18880,
"015059","JAN","9","TOTAL","99","2017",18911,
"015059","JAN","9","TOTAL","99","2018",19057,
"012040","JAN","9","TOTAL","99","2014",21647,
"012040","JAN","9","TOTAL","99","2015",21677,
"012040","JAN","9","TOTAL","99","2016",21622,
"012040","JAN","9","TOTAL","99","2017",21641,
"012040","JAN","9","TOTAL","99","2018",21757,
"012041","JAN","9","TOTAL","99","2014",679,
"012041","JAN","9","TOTAL","99","2015",666,
"012041","JAN","9","TOTAL","99","2016",664,
"012041","JAN","9","TOTAL","99","2017",669,
"012041","JAN","9","TOTAL","99","2018",675,
"016061","JAN","9","TOTAL","99","2014",117,
"016061","JAN","9","TOTAL","99","2015",112,
"016061","JAN","9","TOTAL","99","2016",109,
"016061","JAN","9","TOTAL","99","2017",112,
"016061","JAN","9","TOTAL","99","2018",110,
"015060","JAN","9","TOTAL","99","2014",13419,
"015060","JAN","9","TOTAL","99","2015",13619,
"015060","JAN","9","TOTAL","99","2016",13652,
"015060","JAN","9","TOTAL","99","2017",13765,
"015060","JAN","9","TOTAL","99","2018",13849,
"013055","JAN","9","TOTAL","99","2014",3277,
"013055","JAN","9","TOTAL","99","2015",3290,
"013055","JAN","9","TOTAL","99","2016",3290,
"013055","JAN","9","TOTAL","99","2017",3324,
"013055","JAN","9","TOTAL","99","2018",3351,
"097018","JAN","9","TOTAL","99","2014",476,
"097018","JAN","9","TOTAL","99","2015",482,
"097018","JAN","9","TOTAL","99","2016",482,
"097018","JAN","9","TOTAL","99","2017",478,
"097018","JAN","9","TOTAL","99","2018",499,
"015061","JAN","9","TOTAL","99","2014",1920,
"015061","JAN","9","TOTAL","99","2015",1919,
"015061","JAN","9","TOTAL","99","2016",1914,
"015061","JAN","9","TOTAL","99","2017",1911,
"015061","JAN","9","TOTAL","99","2018",1905,
"018035","JAN","9","TOTAL","99","2014",7091,
"018035","JAN","9","TOTAL","99","2015",7096,
"018035","JAN","9","TOTAL","99","2016",7042,
"018035","JAN","9","TOTAL","99","2017",7038,
"018035","JAN","9","TOTAL","99","2018",6976,
"018036","JAN","9","TOTAL","99","2014",732,
"018036","JAN","9","TOTAL","99","2015",720,
"018036","JAN","9","TOTAL","99","2016",721,
"018036","JAN","9","TOTAL","99","2017",711,
"018036","JAN","9","TOTAL","99","2018",716,
"015062","JAN","9","TOTAL","99","2014",11208,
"015062","JAN","9","TOTAL","99","2015",11252,
"015062","JAN","9","TOTAL","99","2016",11305,
"015062","JAN","9","TOTAL","99","2017",11249,
"015062","JAN","9","TOTAL","99","2018",11228,
"018037","JAN","9","TOTAL","99","2014",6918,
"018037","JAN","9","TOTAL","99","2015",6865,
"018037","JAN","9","TOTAL","99","2016",6805,
"018037","JAN","9","TOTAL","99","2017",6818,
"018037","JAN","9","TOTAL","99","2018",6712,
"017040","JAN","9","TOTAL","99","2014",8304,
"017040","JAN","9","TOTAL","99","2015",8317,
"017040","JAN","9","TOTAL","99","2016",8334,
"017040","JAN","9","TOTAL","99","2017",8361,
"017040","JAN","9","TOTAL","99","2018",8449,
"020014","JAN","9","TOTAL","99","2014",4840,
"020014","JAN","9","TOTAL","99","2015",4762,
"020014","JAN","9","TOTAL","99","2016",4736,
"020014","JAN","9","TOTAL","99","2017",4669,
"020014","JAN","9","TOTAL","99","2018",4659,
"019024","JAN","9","TOTAL","99","2014",474,
"019024","JAN","9","TOTAL","99","2015",470,
"019024","JAN","9","TOTAL","99","2016",474,
"019024","JAN","9","TOTAL","99","2017",475,
"019024","JAN","9","TOTAL","99","2018",457,
"020015","JAN","9","TOTAL","99","2014",12501,
"020015","JAN","9","TOTAL","99","2015",12533,
"020015","JAN","9","TOTAL","99","2016",12547,
"020015","JAN","9","TOTAL","99","2017",12589,
"020015","JAN","9","TOTAL","99","2018",12633,
"017042","JAN","9","TOTAL","99","2014",11076,
"017042","JAN","9","TOTAL","99","2015",11077,
"017042","JAN","9","TOTAL","99","2016",11056,
"017042","JAN","9","TOTAL","99","2017",10993,
"017042","JAN","9","TOTAL","99","2018",11010,
"016063","JAN","9","TOTAL","99","2014",2916,
"016063","JAN","9","TOTAL","99","2015",2941,
"016063","JAN","9","TOTAL","99","2016",2916,
"016063","JAN","9","TOTAL","99","2017",2875,
"016063","JAN","9","TOTAL","99","2018",2849,
"012042","JAN","9","TOTAL","99","2014",14265,
"012042","JAN","9","TOTAL","99","2015",14338,
"012042","JAN","9","TOTAL","99","2016",14295,
"012042","JAN","9","TOTAL","99","2017",14397,
"012042","JAN","9","TOTAL","99","2018",14340,
"019025","JAN","9","TOTAL","99","2014",9593,
"019025","JAN","9","TOTAL","99","2015",9537,
"019025","JAN","9","TOTAL","99","2016",9455,
"019025","JAN","9","TOTAL","99","2017",9374,
"019025","JAN","9","TOTAL","99","2018",9472,
"018038","JAN","9","TOTAL","99","2014",1033,
"018038","JAN","9","TOTAL","99","2015",1032,
"018038","JAN","9","TOTAL","99","2016",1033,
"018038","JAN","9","TOTAL","99","2017",1016,
"018038","JAN","9","TOTAL","99","2018",1082,
"016062","JAN","9","TOTAL","99","2014",10234,
"016062","JAN","9","TOTAL","99","2015",10289,
"016062","JAN","9","TOTAL","99","2016",10377,
"016062","JAN","9","TOTAL","99","2017",10430,
"016062","JAN","9","TOTAL","99","2018",10453,
"012043","JAN","9","TOTAL","99","2014",574,
"012043","JAN","9","TOTAL","99","2015",582,
"012043","JAN","9","TOTAL","99","2016",581,
"012043","JAN","9","TOTAL","99","2017",591,
"012043","JAN","9","TOTAL","99","2018",562,
"018039","JAN","9","TOTAL","99","2014",1149,
"018039","JAN","9","TOTAL","99","2015",1173,
"018039","JAN","9","TOTAL","99","2016",1202,
"018039","JAN","9","TOTAL","99","2017",1184,
"018039","JAN","9","TOTAL","99","2018",1183,
"014014","JAN","9","TOTAL","99","2014",635,
"014014","JAN","9","TOTAL","99","2015",626,
"014014","JAN","9","TOTAL","99","2016",622,
"014014","JAN","9","TOTAL","99","2017",635,
"014014","JAN","9","TOTAL","99","2018",629,
"097019","JAN","9","TOTAL","99","2014",2568,
"097019","JAN","9","TOTAL","99","2015",2557,
"097019","JAN","9","TOTAL","99","2016",2594,
"097019","JAN","9","TOTAL","99","2017",2598,
"097019","JAN","9","TOTAL","99","2018",2612,
"020016","JAN","9","TOTAL","99","2014",5253,
"020016","JAN","9","TOTAL","99","2015",5238,
"020016","JAN","9","TOTAL","99","2016",5186,
"020016","JAN","9","TOTAL","99","2017",5228,
"020016","JAN","9","TOTAL","99","2018",5235,
"013058","JAN","9","TOTAL","99","2014",1297,
"013058","JAN","9","TOTAL","99","2015",1314,
"013058","JAN","9","TOTAL","99","2016",1320,
"013058","JAN","9","TOTAL","99","2017",1309,
"013058","JAN","9","TOTAL","99","2018",1288,
"018040","JAN","9","TOTAL","99","2014",607,
"018040","JAN","9","TOTAL","99","2015",604,
"018040","JAN","9","TOTAL","99","2016",603,
"018040","JAN","9","TOTAL","99","2017",588,
"018040","JAN","9","TOTAL","99","2018",568,
"098013","JAN","9","TOTAL","99","2014",1651,
"098013","JAN","9","TOTAL","99","2015",1644,
"098013","JAN","9","TOTAL","99","2016",1638,
"098013","JAN","9","TOTAL","99","2017",1625,
"098013","JAN","9","TOTAL","99","2018",1626,
"013059","JAN","9","TOTAL","99","2014",914,
"013059","JAN","9","TOTAL","99","2015",922,
"013059","JAN","9","TOTAL","99","2016",929,
"013059","JAN","9","TOTAL","99","2017",914,
"013059","JAN","9","TOTAL","99","2018",911,
"012044","JAN","9","TOTAL","99","2014",1305,
"012044","JAN","9","TOTAL","99","2015",1302,
"012044","JAN","9","TOTAL","99","2016",1307,
"012044","JAN","9","TOTAL","99","2017",1300,
"012044","JAN","9","TOTAL","99","2018",1311,
"012045","JAN","9","TOTAL","99","2014",1998,
